hand 1; head 2; swing 1.5;
Initial_Position; PS 0 Move_Back_Ini; PW 0 Move_Forward_Ini; PL 2 Strike_Enemy; PA 0 Move_Left_Ini; You face the enemy.
//
Strike_Enemy; EDMG hand; _ Initial_Position; You swing your sword with your right hand and strike the enemy, dealing <DMG> damage;
Get_Hit_Hand; PDMG hand <You took <DMG> damage and died.>; _ Initial_Position; The enemy strikes you at your hand and deals <DMG> damage.
//
Move_Back_Ini; _ P_Position_Back; You move backwards.
P_Position_Back; PW 0 Move_Backwards_Front; You stand back.
Move_Backwards_Front; _ Initial_Position; You move forwards.
//
Move_Forward_Ini; _ P_Position_Front; You move forward.
P_Position_Front; PS 0 Move_Backwards_Front; You are very close to the enemy.
Move_Backwards_Front; _ Initial_Position; You move backwards.
//
Move_Left_Ini; _ P_Position_Left; You move left.
P_Position_Left; PD 0 Move_Left_Right; null
Move_Left_Right; _ Initial_Position; You move right.
